Metin;Durum
çorap aparatının amacı aslında tam olarak normal çoraplar ıcın degıl daha cok lenf-ı odem ya da varıs hastalarının basınclı coraplarını saatlerce ugrasmadan normale gore sısmıs olan ayaklarına gecırmelerı ıcın yıllarca bende zorlanarak gıymıstım basınclı corapları ama bu aparat sayesınde ne acı cekıyorum ne zaman harcıyorum nasıl kullandıgına baglı bence 10/10 alet :D;2
El ısıtıcısını ben yıllardır kullanıyorum, kış mevsiminde gerçekten çok yararlı. Tekrar kullanmak istiyorsan su da kaynatman lazım, tekrar içindeki kristaller kaybolana kadar, sonra tekrar çatlatıp kullanabiliyorsun. 👍🏼;1
Orkun cidden çok umursamaz şekilde inceliyosun keşke tepki vermeden önce birsi ürünler hakkında bilgi falan alsaydı ürünleri gelişi güzel inceliyosun;0
3:42 abi yanlış yaptın bence;0
Çorap aparatı ayağına yetişemeyenler, kalça protezi olduğu için eğilmesi yasak olan kişiler için çok faydalı dikkat ederseniz sopası var eğilmemek o sopasıyla koyuyorsunuz, gerçekten çok faydalı bir ürün ama çok pahalanmış yazık. İyki yapmışlar, çok sağolsunlar..;1
el ısıtıcısını kullandıktan sonra kaynar suda bekletirsen eski haline geri dönüyo;2
Sırf biz merak edip almayalım diye bizim için o ürünleri alıp inceleyen koca yürekli Orkun seviliyorsun;1
13:00 tavuk arkada bayılmış uyumuş çocuk uyumuş 🙂🙂;2
abi o sarımsak kestiğin aletin amacı daha çok fasulye barbunya gibi yiyecekler için.;2
3:27 sen o ışıgı parçaları birleştirdikten sonra tutacaktın :D ışığı tutunca o yapıştırıcı kuruyor ondan yapışmadı;2
2:11 yarıldım sjsjslksksş;1
1:30 gülme krizine girdim;1
Abi o UV ışını yapıştırıcıyı donduruyor sen dondurup yapıştırmayı denedin;2
Orkun abi GECE GİZLİCE bir yerde kal ama MURAT ABİGFyle!!;2
o yapışkanlı aleti öyle yapmıcaksın orkun ya sürüceksin sonra elinle yapıştırıcaksın sonra ışıkla kurutucaksın gerçekten işe yarayan bi alet ben telefoncuyum ve sürekli kullanıyoruz yanlış yapmışsın;0
5:22 abi cep ısıtıcıyı 5 dk. sıcak suda beklet,bi zarar gelmediği sürece sürekli kullanıyıyo;2
1:46 evde ıslık çala çala gezdiğim hayal ettim bir an. 😅;2
abi cep ısıtıcı bana hediye olarak  gelmişti onun   eski hale gelmesi için üzerine kaynar su döküyorsun sonra bir beze sarıp 15-20 dakika bekliyorsun geri sıvılaşıyor;2
1:28 hülülülüy;2
12:10 güc seninle olsun;2
işini hakkı ve saygı ile yapan nadir youtuber orkun ışıtmak her hafta düzenli video atıyor ve takipçilerine inanılmaz saygı duyuyor buda seni kısa zamanda 1 numara yapacaktır sonuçta buradan ekmek parasını kazanıyor ve hakkını veriyor tebrikler orkun...enes batur ayda bir iki ayda bir video atar oldu buda zamanla kendisine çok fazla eksi olarak dönecektir umarım tez zamanda eski enesi de görürüz;1
"3:50 abi onu bir yere yapisdirdikdan sonra uv ışığını tutup kurutman lazım yani uv ışıgı kurutucu gibi
";2
abi starbax kahvesiylen starbaxa git starbax nerede diye sorup  dükkandan çık;2
abi fırat abi nin videolarından almışsın ürünleri :);2
Abi sen o yapışkanlı şeyi yanlış yaptın;0
Her zamanki gibi YouTuben krallarından biri....;1
Tam zamanında  yetişemedim😔Ama seni çok ama çok ama çok ama çok ama çok seviyorum Orkun abi💖;1
Bu seri çok güzel olmuş Orkun abi 💚;1
YouTube Türkiye’de senin kadar kaliteli içerik yapan başka bi YouTuber yok;1
O kalp şeklindeki el ısıtıcısını kaynar suya atıp eski haline döndürerek sonsuza kadar kullanabiliyorsun;2
ayran iyi bi yemek yancısı değildir cümlesi geldiği an alt f4 atarız mesela;0
Videodan anladığım kadarıyla bi gün bi mekanda denk gelirsek asla sizin damak zevkinize güvenmemem gerekiyor hocam;0
Kınık Sodaya çok kötü diyip Kızılaycıyım yorumu inanılmaz bir akıl tutulması;0
17:27 de ayran iyi bir yancı değildir lafında bıraktım usta;0
Allah aşkına şu çamlıca portakal saçmalığı nasıl o kadar yukarı çıktı aklım almıyo;0
Hasan’a güvenerek Çamlıca portakal aldım. Pişman oldum;0
mukemmel muhabbet ya;1
Özerhisar ayranı herkes bilmez. Balıkesir ve civarında bulabilirsiniz.;2
Tediyi eleyince beni kaybettin;0
İce tea ve enerji içeceği alanında tek bir doğru Info yok, böyle devam hocam.;0
1 saat ne olum;2
Dost ayrana yapılana haksızlığı tamamen kınıyorum. Çok ciddili hakkı yenmiştir.;0
Senin arka kapı gıcırdamaya başlamış ayrani erkenden elemek fln hayırdır;0
izlerken hastaneye kaldırıldım maalesef;0
icecek isinden su kadar anlamayacaksin mesela;0
22:18 sağdaki tedi meyve suyuyla büyümüş biri olarak sizi şiddetle kınıyorum. Hayatımda içtiğim en güzel meyve suyuydu;0
ohhh bee geldi bizim video şu babaanne kısmında önce rahmet okuyup sonra bol bol gülme zamanı;1
dayi denen adamın konuşmasını kestiğin için teşekkürler atlamama gerek kalmadı;1
Ebonun yüzüne bakınca nedense suç örgütü görüyorum. Bariz yalan kokusu var;0
herkes sadece Ebo demişte Orkununda yıllardır çizdiği iyi karizmanın bi sik olmadığı anlaşıldı;0
2 saat 13 dakika 39 saniyelik bir şaheser.;1
jago bu internet camiasında doğruları konuşan  tek adam..;1
dramaaaaaaaa canavarı;2
"DRAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
";2
kullanın şu virgülü mmk;0
aq;0
mk;0
amk;0
Oh be canım sıkılıyordu şimdi ilaç gibi gelecek bu drama;1
Of jahrein bu işi çok iyi yapıyor;1
Bu gun kanseri yendim 🎗🎗;1
Seni ana dilimizde izleyebildiğimiz için çok şanslıyız. Seninle gurur duyuyoruz.;1
Ruhi'nin yaptığı içerikler o kadar büyük ki kopyalamak mümkün değil;1
Ben basit adamım Cem Yılmaz görürsem anında damlarım;2
OHA! Cem Yılmaz'la GORA'yı izliyoruz :D Lükse bak.;1
Gora-Arog-Yahşi Batı , Türk komedi tarihin efsanelerindendir. Bize bunları izlettiğin için teşekkürler Cem Yılmaz;1
Yine bedavadan Cem Yılmaz izledik, teşekkürler Candaş abi! 😂;1
Yaşlanıyorlar, biz büyüyoruz... Her izlediği sahnesinde yüzünde ki o neşeli çocuksu tebessümün belirişi... Duygulandım izlerken;1
Şu adamın bile neşesini kaçırdılar ülkenin içine ettiler bir cem yılmaz vardı guldugumuz;0
Sadece GORA'daki replikler bile dile geçmiş modern atasözü ve deyim olmuştur. Cem Yılmaz'ın hayatımızdaki ve dilimizdeki yeri çok büyük iyi ki var.;1
Candaş reklam az olmuş 30 saniyede bir koysaydın;0
"Gerçekten Cem Yılmaz bu ülkenin eşsiz değerlerinden
";1
"Çok duygulandım, bir tasarımcı olarak Bahattin Abiyle gece 12""lere kadar tasarım üzerine düşündüğümüz, 2 saat uykuyla 3 gün çalışmalar, çok emek verdik. Ama güzel bir anı oldu.";1
"Gencler bilmezler; Turkiye'de Cem Yilmaz oncesi ve sonrasi mizah anlayisi cok farklidir. Ilk ciktiginda bir ust jenerasyondan tv deki stand up showlarini anlayamayan coktu. Cem Yilmaz sakalari birden once butun genclerin diline dolandi. Cok farkli ve yaraticiydi. Ve o zamanlar herkes tv seyrettigi icin de birden hepimiz ayni anda bu espri anlayisiyla konusmaya basladik. Adam resmen bir jenerasyonun mizah anlayisini sekillendirdi. Eger basit geliyorsa, sebebi tum espri anlayisini zaten kendisi 30 yil once olusturdugu ve bu anlayis cok benimsendigi ve normallestigi icin.";1
43:07 daha yakın zamanda gorayı izledim, ve şunu net söyleyebilirim ki, günümüz komedi filmlerinden bin kat daha iyi ve prodiksiyonlu. Yıllar sonra bile güldürmeyi başardıysa bu film efsaneleşmiştir.;1
Yıllardır Cem Yılmaz da izliyo mudur acaba diye tekrarlarını izler izler düşünürdüm, nedense o kadar içli izliyo ki sanki önümüzde bi ekran ve yanımda ellerini kollarını birleştirmiş geçmişinde yaptığı ince şakaları bana bakıp dil çıkarıp bi abi edasıyla gülüyo gibi hissettirdi. Gerçekten değerini hiç eksiltmeyenler olarak seni ve ürettiklerini seviyoruz. Teşekkür ederiz benim de gözüm doldu adammmsın be;1
özkan ugur ne buyuk sanatçı ya;1
yabanci esim gora'dan sonra turkce ogrenmeye karar verdi. esprileri tam anlamak istiyorum dedi. suan 2 senedir kurs aliyor boyle de bir etkisi oldu bize sagol cem baba;1
Cem yılmaz ve izleyerek büyüdüğüm ünlülerin yaşlanması beni üzüyor.;0
Önemli olan 25 sene sonrada  izlenmek.  Muazzama bir tespit 👏;1
Film sahnelerini izlerken Cem’in yüzü! HARİKAAAAA nasıl bi his nasıl bi gurur!;1
25 sene diyince yaslandigimi hissettim :) sinemada izledik 20’li yaslarda.;2
"Candaş a az konuştuğu için teşekkür ederiz. Böyle devam
";0
Cem Yılmaz tıpkı Sadri Alışık ve Cüneyt Arkın gibi Türk sinemasında kendi yerine sahip bir sanatçıdır. İyi ki varsın Cem Yılmaz çok defa yüzümüzü güldürdün. Ağlatmak daima kolaydır, mesele yıllar yıllar sonra düşünüldüğünde bile güldürebilmekte. 🥰💐❤️❤️;1
1 saat boyunca hiç mi sıkmazsın be izleyiciyi jssj;1
nurlar içinde uyu Özkan abi;1
449 ne be 1 tantuniye şaka misiniz;0
37:55  yardıı;1
Büşraya Aşık oldum be;1
efe dayımı gordugum her videoyu izler like atarım.;1
efenin modu çok düşüktü bi daha gelmesin;0
Vay be özlemişiz;1
Bu ikili ilk önce hesaplaşmaları lazım samimi olmayan birşeyler var.;0
Keşke girişte ben Fırat ben melih deseydiniz;2
7:36 tamerden niye bahsetmediniz;2
"20 dakika izledik baydı net.
";0
eskiden melihin sacı vardı fıratın yoktu şimdi tam tersi;2
"1000 TL ye kahvaltı ve esnaf kahvaltısı kazıkçı mekanmış.. gidilmezler listesi mi izliyoruz diye bi düşünmedim değil:D
";0
Kahvaltıda 6 küçük tabak var ve 1000₺ kesinlikle kazık. Tabakalar küçücük ürünler de az içinde. Ayrıca listeye de bakın iyice. 1000₺ye menemen ve yumurtanın dahil olduğunu düşünmüyorum. Olsa da gene de fazla. 7 çeşit şeye. Ciğerci 290tl tek tabak uçmuş fiyatlar dönerci de öyle. Yazık skaarya da bitmiş;0
